Participant_id,Duration,Group,Test,Test_Score,is_val
271,712,2.0,TEST_S1_P_1,75.0,0
273,584,3.0,TEST_S1_P_1,100.0,0
275,311,3.0,TEST_S1_P_1,77.0,0
276,649,3.0,TEST_S1_P_1,62.0,0
277,686,2.0,TEST_S1_P_1,100.0,0
279,720,2.0,TEST_S1_P_1,100.0,0
281,545,3.0,TEST_S1_P_1,82.0,0
282,593,3.0,TEST_S1_P_1,99.0,0
286,771,3.0,TEST_S1_P_1,50.0,0
288,431,3.0,TEST_S1_P_1,82.0,0
289,367,2.0,TEST_S1_P_1,100.0,0
290,881,3.0,TEST_S1_P_1,50.0,0
293,471,2.0,TEST_S1_P_1,50.0,0
295,440,2.0,TEST_S1_P_1,100.0,0
296,885,3.0,TEST_S1_P_1,88.0,0
297,519,3.0,TEST_S1_P_1,40.0,0
298,393,2.0,TEST_S1_P_1,100.0,0
299,651,2.0,TEST_S1_P_1,50.0,0
301,801,3.0,TEST_S1_P_1,30.0,0
302,487,3.0,TEST_S1_P_1,80.0,0
303,1046,2.0,TEST_S1_P_1,50.0,0
305,582,3.0,TEST_S1_P_1,50.0,0
308,758,2.0,TEST_S1_P_1,44.0,0
310,841,3.0,TEST_S1_P_1,55.0,0
312,857,2.0,TEST_S1_P_1,50.0,0
315,1172,2.0,TEST_S1_P_1,100.0,0
317,1032,3.0,TEST_S1_P_1,13.0,0
318,709,2.0,TEST_S1_P_1,50.0,0
320,632,2.0,TEST_S1_P_1,100.0,0
323,639,3.0,TEST_S1_P_1,60.0,0
325,737,2.0,TEST_S1_P_1,45.0,0
326,536,2.0,TEST_S1_P_1,50.0,0
331,691,2.0,TEST_S1_P_1,59.0,0
332,664,2.0,TEST_S1_P_1,100.0,0
333,519,3.0,TEST_S1_P_1,100.0,0
335,1177,2.0,TEST_S1_P_1,100.0,0
336,439,3.0,TEST_S1_P_1,50.0,0
340,519,2.0,TEST_S1_P_1,100.0,0
341,1486,2.0,TEST_S1_P_1,100.0,0
343,608,3.0,TEST_S1_P_1,100.0,0
345,1195,3.0,TEST_S1_P_1,50.0,0
